"lu","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
"field_1","trit","trit","trit","trit","corn","corn","wwht","wwht"
"field_2","wwht","wwht","wwht","wwht","wwht","wwht","wwht","corn"
"field_3","canp","canp","corn","alfa","corn","alfa","corn","corn"
"field_4","trit","alfa","corn","corn","mint","trit","wwht","corn"
"field_5","alfa","alfa","alfa","alfa","mint","mint","wwht","alfa"
"field_6","barl","alfa","corn","onio","barl","corn","corn","trit"
"field_7","sgbt","canp","sgbt","lett","lett","lett","corn","corn"
"field_8","wwht","barl","sgbt","sgbt","sgbt","sgbt","wwht","barl"
"field_9","barl","corn","barl","wwht","mint","mint","mint","mint"
"field_10","sgbt","corn","mint","mint","barl","wwht","mint","mint"
"field_11","barl","corn","wwht","corn","barl","mint","mint","wwht"
"field_12","wwht","onio","trit","trit","barl","wwht","trit","onio"
"field_13","trit","onio","barl","canp","wwht","wwht","alfa","wwht"
"field_14","onio","wwht","corn","trit","trit","barl","wwht","wwht"
"field_15","trit","trit","trit","trit","trit","trit","wwht","corn"
"field_16","trit","trit","trit","alfa","corn","wwht","wwht","alfa"
"field_17","trit","wwht","sgbt","barl","onio","sgbt","crrt","sgbt"
"field_18","wwht","trit","barl","corn","barl","wwht","corn","corn"
"field_19","trit","trit","trit","trit","trit","trit","trit","trit"
"field_20","trit","alfa","trit","alfa","corn","wwht","wwht","corn"
"field_21","trit","wwht","trit","corn","corn","corn","corn","wwht"
"field_22","canp","mint","trit","alfa","alfa","trit","wwht","canp"
"field_23","canp","canp","trit","alfa","alfa","trit","barl","canp"
"field_24","trit","trit","trit","canp","trit","trit","wwht","trit"
"field_25","trit","trit","corn","trit","alfa","trit","barl","trit"
"field_26","trit","corn","corn","alfa","alfa","trit","barl","trit"
"field_27","trit","corn","trit","trit","trit","corn","corn","corn"
"field_28","canp","trit","canp","sgbt","canp","canp","corn","canp"
"field_29","trit","corn","alfa","wwht","trit","corn","corn","corn"
"field_30","trit","corn","trit","wwht","trit","corn","corn","corn"
"field_31","trit","trit","trit","trit","trit","trit","trit","trit"
"field_32","sgbt","corn","corn","trit","trit","wwht","corn","corn"
"field_33","mint","trit","alfa","wwht","mint","wwht","mint","wwht"
"field_34","trit","mint","alfa","trit","wwht","alfa","corn","wwht"
"field_35","trit","onio","trit","onio","onio","trit","corn","trit"
"field_36","corn","corn","corn","corn","corn","crrt","corn","corn"
"field_37","corn","corn","corn","alfa","corn","corn","corn","corn"
"field_38","barl","barl","barl","barl","barl","onio","barl","canp"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_40","alfa","alfa","alfa","alfa","alfa","barl","barl","lett"
"field_41","barl","barl","barl","barl","barl","barl","barl","alfa"
"field_42","trit","alfa","trit","alfa","canp","alfa","barl","canp"
"field_43","trit","trit","trit","trit","trit","trit","sgbt","trit"
"field_44","trit","trit","trit","trit","corn","trit","trit","trit"
"field_45","trit","trit","corn","trit","trit","trit","canp","trit"
"field_46","wwht","mint","corn","barl","wwht","canp","wwht","canp"
"field_47","barl","alfa","trit","trit","trit","mint","trit","mint"
"field_48","barl","alfa","barl","trit","barl","wwht","trit","barl"
"field_49","trit","trit","trit","alfa","alfa","alfa","wwht","alfa"
"field_50","trit","mint","barl","wwht","trit","mint","wwht","mint"
"field_51","canp","wwht","barl","trit","mint","wwht","barl","trit"
"field_52","trit","alfa","sgbt","alfa","trit","wwht","onio","corn"
"field_53","trit","crrt","wwht","onio","wwht","onio","onio","alfa"
"field_54","alfa","alfa","alfa","alfa","alfa","trit","barl","alfa"
"field_55","trit","alfa","barl","alfa","barl","wwht","barl","barl"
"field_56","trit","wwht","barl","trit","barl","wwht","barl","barl"
"field_57","trit","alfa","barl","trit","barl","barl","wwht","trit"
"field_58","barl","alfa","barl","trit","wwht","wwht","wwht","trit"
"field_59","alfa","alfa","trit","trit","alfa","alfa","wwht","alfa"
"field_60","alfa","wwht","barl","wwht","barl","onio","trit","trit"
"field_61","trit","wwht","trit","trit","trit","barl","wwht","mint"
"field_62","trit","alfa","barl","trit","barl","trit","wwht","alfa"
"field_63","trit","trit","trit","trit","barl","trit","barl","trit"
"field_64","onio","trit","corn","trit","onio","trit","trit","barl"
"field_65","onio","trit","trit","trit","trit","onio","trit","trit"
"field_66","onio","trit","corn","trit","onio","onio","trit","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_68","mint","trit","trit","trit","trit","alfa","barl","trit"
"field_69","corn","mint","trit","wwht","trit","alfa","trit","trit"
"field_70","trit","trit","corn","trit","trit","wwht","corn","trit"
"field_71","mint","mint","mint","trit","mint","lett","onio","lett"
"field_72","trit","onio","wwht","mint","mint","mint","lett","lett"
"field_73","sgbt","alfa","barl","onio","barl","corn","wwht","wwht"
"orcd",NA,NA,NA,NA,NA,NA,NA,NA
"orcd",NA,NA,NA,NA,NA,NA,NA,NA
"field_76","trit","trit","trit","alfa","barl","trit","barl","trit"
"field_77","barl","trit","trit","trit","trit","onio","barl","onio"
"field_78","trit","corn","barl","trit","trit","onio","trit","mint"
"field_79","trit","alfa","trit","trit","onio","trit","barl","trit"
"field_80","trit","trit","barl","trit","mint","onio","trit","corn"
"field_81","alfa","alfa","alfa","trit","mint","mint","mint","trit"
"field_82","alfa","alfa","alfa","alfa","mint","wwht","lett","mint"
"field_83","trit","mint","corn","trit","corn","trit","mint","alfa"
"field_84","alfa","alfa","alfa","corn","alfa","onio","wwht","trit"
"field_85","alfa","mint","crrt","alfa","alfa","alfa","mint","corn"
"field_86","trit","corn","wwht","corn","trit","trit","corn","corn"
"field_87","trit","mint","trit","trit","mint","trit","barl","corn"
"field_88","trit","mint","alfa","wwht","mint","mint","mint","mint"
"field_89","trit","alfa","trit","alfa","alfa","alfa","mint","alfa"
"field_90","mint","sgbt","sgbt","sgbt","sgbt","sgbt","mint","canp"
"field_91","canp","sgbt","wwht","sgbt","wwht","wwht","mint","sgbt"
"field_92","alfa","trit","trit","trit","barl","trit","onio","alfa"
"field_93","trit","corn","trit","mint","trit","mint","wwht","mint"
"field_94","trit","trit","trit","trit","mint","wwht","trit","onio"
"field_95","wwht","barl","wwht","trit","mint","wwht","wwht","trit"
"field_96","trit","trit","corn","corn","corn","wwht","corn","corn"
"field_97","trit","wwht","alfa","trit","mint","corn","wwht","corn"
"field_98","trit","trit","barl","trit","mint","corn","corn","corn"
"field_99","canp","onio","sgbt","lett","sgbt","sgbt","wwht","sgbt"
"field_100","trit","trit","wwht","trit","mint","corn","corn","corn"
"field_101","trit","wwht","wwht","corn","mint","wwht","wwht","sgbt"
"field_102","canp","trit","trit","corn","corn","trit","wwht","corn"
"field_103","corn","wwht","trit","trit","alfa","trit","wwht","lett"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_105","trit","trit","corn","trit","trit","trit","wwht","trit"
"field_106","trit","alfa","alfa","alfa","alfa","alfa","barl","alfa"
"field_107","barl","trit","trit","trit","barl","trit","barl","wwht"
"field_108","trit","alfa","alfa","alfa","alfa","alfa","barl","alfa"
"field_109","alfa","trit","corn","trit","trit","mint","wwht","trit"
"field_110","trit","trit","corn","alfa","alfa","trit","onio","corn"
"field_111","wwht","trit","barl","sgbt","wwht","canp","canp","corn"
"field_112","trit","barl","trit","corn","wwht","sgbt","wwht","corn"
"field_113","wwht","trit","sgbt","trit","wwht","canp","canp","corn"
"field_114","barl","alfa","corn","trit","corn","onio","barl","canp"
